episode,reward,won,kills
458,-970.6885175074228,0,0
459,-528.2072430751256,0,0
460,-502.7755962651036,0,0
461,-557.4206697199713,0,0
462,-1528.2766497233374,0,0
463,-236.78562992675126,0,0
464,-4271.059472386018,0,0
465,-3622.9725271000225,0,0
466,-3068.8944543831954,0,0
467,-1530.3994545625762,0,0
468,-1059.7397080493718,0,0
469,-2612.892632617097,0,1
470,-884.7736943989264,0,0
471,-510.29825040046626,0,0
472,14215.882643130199,0,2
473,-510.5458375409685,0,0
474,10822.01444494546,0,1
475,-821.2285333172922,0,0
476,-501.7473868778332,0,0
477,-639.7271193268075,0,0
478,-655.8093113089877,0,0
479,3112.276954965093,0,0
480,-1615.8695759234975,0,0
481,-523.238872799858,0,0
482,-750.6050899690831,0,1
483,-542.5140122042184,0,0
484,-485.955376201793,0,0
485,1805.611836279604,0,3
486,-295.6193676392596,0,0
487,-566.4373969774872,0,0
488,-139.04947740242605,0,0
489,-568.4369672736063,0,0
490,-636.5722765251289,0,0
491,-422.9722164292225,0,0
492,424.2867713751883,0,0
493,-474.9547868111807,0,0
494,-564.758044768812,0,0
495,-984.9792125372244,0,0
496,-451.9392527932715,0,0
497,-634.2815935370685,0,0
498,-797.245318020674,0,0
499,-634.1804405279817,0,0
500,-1331.509990695646,0,0
501,-558.2375277343749,0,0
502,-567.3194825877039,0,0
503,-500.8705719605702,0,0
504,-1290.3528745636731,0,1
505,-995.8059788211502,0,0
506,446.6063901630452,0,1
507,-501.12712569596897,0,0
508,-558.8690079804405,0,0
509,-487.650936043028,0,0
510,-1093.778321989067,0,0
511,-578.4270939848192,0,0
512,-1741.3527841099865,0,1
513,-446.54968468458196,0,0
514,-1132.5473043386135,0,0
515,-722.7997332526919,0,0
516,-774.9299678122702,0,0
517,-596.0788132917392,0,0
518,17390.099180710266,0,5
519,-489.5411225077425,0,0
520,495.7482126701801,0,1
521,-1136.4183492252632,0,1
522,-714.8886620808646,0,0
523,-620.9813111609092,0,0
524,-1654.9183206259759,0,0
525,-942.4532853903679,0,0
526,-548.1608082804129,0,0
527,-794.2100392631983,0,0
528,-916.8301345684541,0,1
529,-593.1130477000894,0,0
530,-506.10221574235015,0,0
531,-512.5531098960099,0,0
532,-485.32743722589385,0,0
533,-912.463615894389,0,0
534,-570.867234552892,0,0
535,-2724.63259082935,0,0
536,-2024.7027764334123,0,0
537,-4940.682007663421,0,0
538,-686.6877655042543,0,0
539,-1075.2413817317922,0,0
540,-23600.26375059284,0,2
541,-2460.0691368271605,0,0
542,-1084.284493751824,0,0
543,-4295.938458747729,0,0
544,-226.48091949324674,0,0
545,-570.7699646780427,0,0
546,-1666.9840876743551,0,0
547,-1662.1278694430657,0,0
548,-1220.3221170135062,0,0
549,-1472.2905071677917,0,0
550,-2345.7324453160504,0,0
551,-517.2644786838064,0,0
552,-3887.627834698323,0,1
553,-635.2053889994511,0,0
554,38966.64208078314,0,1
555,-896.3793121826268,0,0
556,-870.8510013691368,0,0
557,-3212.449386946802,0,0
558,2500.5565010443743,0,0
559,-521.6994081848222,0,0
560,-1491.6089894978134,0,1
561,-1968.2414123552253,0,0
562,-511.35356656271495,0,0
563,-621.0522196591959,0,0
564,-145.05112369128867,0,0
565,-1135.247338301089,0,1
566,-1501.3047876878209,0,0
567,-508.808676196535,0,0
568,-217.05780736651982,0,0
569,-540.9503773001576,0,0
570,1916.7219777172613,0,0
571,-2238.958663076776,0,1
572,-1318.196134235342,0,0
573,-503.19098410895276,0,0
574,-106.25611151697353,0,0
575,-545.1436088133889,0,0
576,-516.7286300222783,0,0
577,40287.181983391434,1,4
578,7143.6239862364455,0,0
579,-538.9884334886332,0,0
580,-408.97339642293775,0,0
581,-498.2587295325219,0,0
582,-587.7703659686613,0,0
583,-549.4101883350266,0,0
584,-521.9744357948423,0,0
585,-527.5239975219707,0,0
586,-533.4738725992052,0,0
587,-283.4159062502558,0,1
588,-633.0537452256751,0,0
589,-2892.8599144884342,0,0
590,-509.1914209336655,0,0
591,-520.2948833819261,0,0
592,-520.2961060525491,0,0
593,-132.6715685418573,0,1
594,11.519137785993763,0,1
595,-521.6581338257399,0,0
596,1638.0023061997556,0,2
597,710.3710935277918,0,1
598,-445.2583856454757,0,0
599,-509.9223348877153,0,0
600,1990.7998101723724,0,1
601,143.6996626059127,0,1
602,-540.93787951275,0,0
603,-529.397719087938,0,0
604,2247.7462590611512,0,1
605,1096.8347162117057,0,0
606,-659.7348906032001,0,0
607,-606.819900644268,0,0
608,-466.12163633715926,0,0
609,-504.43906531287325,0,0
610,-513.8535179383061,0,0
611,43224.079994706866,1,10
612,-1296.4861288418535,0,0
613,17832.11779100752,0,3
614,963.2081820858539,0,0
615,-521.6539868837912,0,0
616,-725.2586834047239,0,0
617,-686.2311498617952,0,0
618,-785.3080501728972,0,0
619,1958.0851799245384,0,1
620,-492.4953625773819,0,0
621,-586.3620036675975,0,0
622,-510.4927515394668,0,0
623,21.731497592752703,0,0
624,4677.220254686168,0,1
625,-507.16592537735124,0,0
626,613.1344723499496,0,0
627,-501.11280400019905,0,0
628,-492.9611925618298,0,0
629,-425.8518052159267,0,0
630,-475.9094204853704,0,0
631,-181.98403738493738,0,0
632,-387.5249483397249,0,0
633,2976.8353598373874,0,0
634,772.7352561817377,0,0
635,-541.3498129675827,0,0
636,-1404.9381764845452,0,0
637,1978.1617528139343,0,1
638,-577.0032177171627,0,0
639,-597.3745213517874,0,1
640,-1120.1840272488134,0,0
641,483.65168472191453,0,1
642,-530.165774210631,0,0
643,2845.5564729543084,0,0
644,-508.3856237439164,0,0
645,2057.5140145820515,0,0
646,-509.17197416526415,0,0
647,917.096073936539,0,0
648,-536.1225475375264,0,0
649,788.4163033938607,0,0
650,-489.11365970974555,0,0
651,1264.650386886894,0,0
652,-1001.2305047450512,0,0
653,-505.3898516139018,0,0
654,-1338.360763427735,0,0
655,39782.576096623125,1,7
656,-1082.807475254359,0,0
657,-504.423479943724,0,0
658,78447.18862844427,1,4
659,-562.882215700022,0,0
660,-509.3221593553133,0,0
661,472.8939704016596,0,0
662,1567.0462353078185,0,1
663,249.80903888858978,0,0
664,-459.38374272872034,0,0
665,2348.3916307246063,0,0
666,165.51024089467637,0,0
667,-512.0062741095231,0,0
668,-560.8361492638821,0,0
669,-498.6141519959835,0,0
670,-519.6627389727761,0,0
671,13676.41086327483,0,0
672,-665.2406089936951,0,0
673,-426.9947950556558,0,0
674,-1614.833056664368,0,0
675,-949.6130145662562,0,0
676,-557.6720607356806,0,0
677,-960.0463200070333,0,0
678,-270.9191055577421,0,0
679,-1043.3506745153477,0,0
680,-460.2817570103535,0,0
681,-232.70350253771292,0,0
682,-862.5928432903218,0,0
683,397.145432767034,0,1
684,-1864.0986624353263,0,0
685,-508.80557602416457,0,0
686,-531.6523522317922,0,0
687,-650.2841181433387,0,0
688,-676.1931141120903,0,0
689,-438.0144186146722,0,0
690,-592.6157538505647,0,0
691,-1254.5775718493628,0,0
692,-512.1693231763635,0,0
693,538.0625500793492,0,1
694,-2201.0293699164476,0,0
695,-559.502261256784,0,0
696,2714.1418967586287,0,0
697,-778.3422430598223,0,0
698,-296.129380759423,0,0
699,-556.9026470872178,0,0
700,-550.8295917024361,0,0
701,1135.3816031004617,0,0
702,-374.3420275940041,0,0
703,2305.0222292655058,0,0
704,-4123.215874698046,0,0
705,-837.0019846940156,0,0
706,-1729.4934521023206,0,0
707,-1762.0347077442125,0,1
708,-550.9143584783349,0,0
709,-553.7165131480211,0,0
710,67.01937649962196,0,0
711,-496.1252389038655,0,0
712,1073.475065771819,0,1
713,-498.2135303428666,0,0
714,136.3078687477123,0,0
715,-540.4105232361829,0,0
716,-226.66140752955528,0,0
717,-238.39904818364,0,0
718,143.59177294380555,0,0
719,-510.93826006591905,0,0
720,-532.977142441711,0,0
721,-718.3904200859624,0,0
722,-857.9564097075461,0,0
723,680.5693229578919,0,1
724,-344.22151272408667,0,0
725,2254.6896323361034,0,0
726,-508.17282538833484,0,0
727,-494.4244900791226,0,0
728,-853.5869495938142,0,0
729,-297.8515653530467,0,1
730,-484.0340101458059,0,0
731,-480.3606702195529,0,0
732,-492.10980274344075,0,0
733,20500.446763725973,0,2
734,-861.2828130645746,0,0
735,-519.877316078782,0,0
736,-738.1350060376435,0,0
737,-595.4988936970473,0,0
738,-878.4081970624878,0,0
739,-17.90291995710811,0,0
740,-506.5278181987421,0,0
