timestamp,episode,step,action,action_name,reward,done,score,steps_alive,nearest_food_dx,nearest_food_dy,food_count,has_virus,q_value,td_error
2025-12-07T14:30:10.749963,6,0,2,LEFT,-50.0000,1,0,1,0.161,-0.237,25,0,0.0000,3.9055
2025-12-07T14:30:22.840139,7,0,3,RIGHT,-50.0000,1,0,1,-0.134,-0.199,82,0,0.0000,3.8998
2025-12-07T14:30:31.848366,8,0,1,DOWN,0.5833,0,0,1,-0.019,-0.521,8,0,0.0000,3.8941
2025-12-07T14:30:34.051474,8,1,1,DOWN,-50.0000,1,0,2,-0.019,-0.521,7,0,0.0000,3.8997
2025-12-07T14:30:45.817636,9,0,2,LEFT,0.6513,0,0,1,0.115,0.010,39,1,0.0000,3.8984
2025-12-07T14:30:48.080921,9,1,3,RIGHT,0.6719,0,0,2,0.188,0.108,41,0,0.0000,3.8928
2025-12-07T14:30:50.220881,9,2,3,RIGHT,-50.0000,1,0,3,-0.019,-0.521,31,0,0.0000,3.8879
2025-12-07T14:31:00.729456,10,0,2,LEFT,0.6693,0,0,1,-0.191,0.022,55,1,0.0000,3.8785
2025-12-07T14:31:02.644772,10,1,2,LEFT,0.6499,0,0,2,-0.132,0.022,54,1,0.0000,3.9011
2025-12-07T14:31:04.581466,10,2,0,UP,0.6666,0,0,3,-0.168,0.196,20,1,0.0000,3.8368
2025-12-07T14:31:06.540676,10,3,2,LEFT,0.6929,0,0,4,-0.244,-0.015,14,1,0.0000,3.8633
2025-12-07T14:31:08.468849,10,4,1,DOWN,0.7092,0,0,5,-0.157,-0.015,16,1,0.0000,3.8727
2025-12-07T14:31:10.402711,10,5,2,LEFT,0.7446,0,0,6,-0.222,0.181,15,0,0.0000,3.8842
2025-12-07T14:31:12.754138,10,6,3,RIGHT,0.7419,0,0,7,0.340,0.047,25,0,1.2523,3.8707
2025-12-07T14:31:14.940697,10,7,0,UP,-50.0000,1,0,8,0.297,-0.128,17,0,0.0000,3.8588
2025-12-07T14:31:25.126535,11,0,1,DOWN,0.6693,0,0,1,0.133,0.002,83,1,0.0000,3.7918
2025-12-07T14:31:27.505351,11,1,3,RIGHT,0.7099,0,0,2,0.138,0.038,79,1,0.0000,3.8424
2025-12-07T14:31:29.516087,11,2,2,LEFT,0.7386,0,0,3,-0.238,0.014,81,1,0.0000,3.8360
2025-12-07T14:31:31.634394,11,3,1,DOWN,-50.0000,1,0,4,-0.123,-0.015,51,0,0.0000,3.8100
2025-12-07T14:31:43.811889,12,0,3,RIGHT,-50.0000,1,0,1,0.184,0.209,15,0,0.0000,3.7993
2025-12-07T14:31:54.249661,13,0,1,DOWN,0.6613,0,0,1,-0.081,0.154,48,1,0.0787,3.8363
2025-12-07T14:31:56.198566,13,1,2,LEFT,0.7099,0,0,2,-0.075,0.211,46,1,0.0000,3.8455
2025-12-07T14:31:58.484736,13,2,0,UP,0.8102,0,0,3,-0.067,0.117,50,1,0.0000,3.7767
2025-12-07T14:32:00.478751,13,3,3,RIGHT,0.7469,0,0,4,0.021,-0.086,50,1,0.0000,3.8448
2025-12-07T14:32:02.660021,13,4,3,RIGHT,-50.0000,1,0,5,0.067,0.266,43,0,0.0000,3.7982
2025-12-07T14:32:12.057892,14,0,0,UP,0.6693,0,0,1,0.190,0.088,68,0,0.0000,3.7586
2025-12-07T14:32:14.017408,14,1,2,LEFT,0.7553,0,0,2,-0.152,0.141,68,0,0.0000,3.7240
2025-12-07T14:32:15.901396,14,2,0,UP,0.7386,0,0,3,0.014,0.097,63,0,0.0000,3.7498
2025-12-07T14:32:17.794082,14,3,1,DOWN,0.8273,0,0,4,-0.097,0.081,58,0,0.0000,3.8064
2025-12-07T14:32:19.665740,14,4,0,UP,0.8172,0,0,5,0.067,0.060,65,0,0.0000,3.7588
